Id,Name
4,Afghanistan
8,Albania
12,Algeria
16,American Samoa
20,Andorra
24,Angola
28,Antigua and Barb.
31,Azerbaijan
32,Argentina
36,Australia
40,Austria
44,Bahamas
48,Bahrain
50,Bangladesh
51,Armenia
52,Barbados
56,Belgium
60,Bermuda
64,Bhutan
68,Bolivia
70,Bosnia and Herz.
72,Botswana
76,Brazil
84,Belize
90,Solomon Is.
92,British Virgin Is.
96,Brunei
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
116,Cambodia
120,Cameroon
124,Canada
132,Cabo Verde
136,Cayman Is.
140,Central African Rep.
144,Sri Lanka
148,Chad
152,Chile
156,China
170,Colombia
174,Comoros
178,Congo
180,Dem. Rep. Congo
184,Cook Is.
188,Costa Rica
191,Croatia
192,Cuba
196,Cyprus
203,Czechia
204,Benin
208,Denmark
212,Dominica
214,Dominican Rep.
218,Ecuador
222,El Salvador
226,Eq. Guinea
231,Ethiopia
232,Eritrea
233,Estonia
234,Faeroe Is.
238,Falkland Is.
242,Fiji
246,Finland
248,Ã…land
250,France
258,Fr. Polynesia
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,Palestine
276,Germany
288,Ghana
296,Kiribati
300,Greece
304,Greenland
308,Grenada
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
336,Vatican
340,Honduras
344,Hong Kong
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
380,Italy
384,CÃ´te d'Ivoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
408,North Korea
410,South Korea
414,Kuwait
417,Kyrgyzstan
418,Laos
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
434,Libya
438,Liechtenstein
440,Lithuania
442,Luxembourg
446,Macao
450,Madagascar
454,Malawi
458,Malaysia
466,Mali
470,Malta
478,Mauritania
484,Mexico
492,Monaco
496,Mongolia
498,Moldova
499,Montenegro
500,Montserrat
504,Morocco
508,Mozambique
512,Oman
516,Namibia
520,Nauru
524,Nepal
528,Netherlands
531,CuraÃ§ao
533,Aruba
534,Sint Maarten
540,New Caledonia
548,Vanuatu
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
570,Niue
574,Norfolk Island
580,N. Mariana Is.
583,Micronesia
584,Marshall Is.
585,Palau
586,Pakistan
591,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
612,Pitcairn Is.
616,Poland
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
630,Puerto Rico
634,Qatar
642,Romania
643,Russia
646,Rwanda
652,St-BarthÃ©lemy
659,St. Kitts and Nevis
660,Anguilla
662,Saint Lucia
663,St-Martin
666,St. Pierre and Miquelon
670,St. Vin. and Gren.
674,San Marino
678,SÃ£o TomÃ© and Principe
682,Saudi Arabia
686,Senegal
688,Serbia
694,Sierra Leone
702,Singapore
703,Slovakia
704,Vietnam
705,Slovenia
706,Somalia
710,South Africa
716,Zimbabwe
724,Spain
728,S. Sudan
729,Sudan
732,W. Sahara
740,Suriname
748,eSwatini
752,Sweden
756,Switzerland
760,Syria
762,Tajikistan
764,Thailand
768,Togo
776,Tonga
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Turkey
795,Turkmenistan
796,Turks and Caicos Is.
798,Tuvalu
800,Uganda
804,Ukraine
807,North Macedonia
818,Egypt
826,United Kingdom
831,Guernsey
832,Jersey
833,Isle of Man
834,Tanzania
840,United States of America
850,U.S. Virgin Is.
854,Burkina Faso
858,Uruguay
860,Uzbekistan
862,Venezuela
876,Wallis and Futuna Is.
882,Samoa
887,Yemen
894,Zambia
